name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,rating_expanded,platform_group
JAMPACK SUMMER '99,PS,1999,Misc,0.54,0.36,0.0,0.06,,,,0.96,Pending,Playstation
DANCE DANCE REVOLUTION 2ND REMIX,PS,1999,Simulation,0.0,0.0,0.9,0.06,,,,0.96,Pending,Playstation
MORTAL KOMBAT TRILOGY,N64,1996,Fighting,0.72,0.22,0.0,0.02,,,,0.96,Pending,Nintendo
STAR SOLDIER,NES,1986,Shooter,0.32,0.06,0.57,0.01,,,,0.96,Pending,Nintendo
NHL 2001,PS2,2000,Sports,0.47,0.37,0.0,0.12,85.0,81.0,E,0.96,Everyone,Playstation
FARMING SIMULATOR 2013,PC,2012,Simulation,0.0,0.81,0.0,0.15,65.0,75.0,E,0.9600000000000001,Everyone,PC
GUITAR HERO WARRIORS OF ROCK,Wii,2010,Misc,0.47,0.4,0.0,0.09,77.0,75.0,T,0.96,Teens,Nintendo
DE BLOB,Wii,2008,Platform,0.49,0.37,0.0,0.1,82.0,86.0,E,0.96,Everyone,Nintendo
DRAGON QUEST MONSTERS TERRY'S WONDERLAND 3D,3DS,2012,Role-Playing,0.0,0.0,0.96,0.0,,,,0.96,Pending,Nintendo
SHINOBI,PS2,2002,Platform,0.36,0.28,0.22,0.09,71.0,79.0,M,0.95,Mature,Playstation
MORTAL KOMBAT DEADLY ALLIANCE,XB,2002,Fighting,0.77,0.15,0.0,0.04,81.0,84.0,M,0.9600000000000001,Mature,XBox
THE WITCHER 2 ASSASSINS OF KINGS,PC,2011,Action,0.25,0.56,0.0,0.14,88.0,85.0,M,0.9500000000000001,Mature,PC
SNIPER ELITE V2,PS3,2012,Shooter,0.38,0.38,0.06,0.14,70.0,69.0,M,0.9600000000000001,Mature,Playstation
ESPN NBA 2K5,XB,2004,Sports,0.88,0.04,0.0,0.04,85.0,87.0,E,0.9600000000000001,Everyone,XBox
