name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,rating_expanded,platform_group
WII SPORTS,Wii,2006,Sports,41.36,28.96,3.77,8.45,76.0,80.0,E,82.54,Everyone,Nintendo
SUPER MARIO BROS,NES,1985,Platform,29.08,3.58,6.81,0.77,,,,40.24,Pending,Nintendo
MARIO KART WII,Wii,2008,Racing,15.68,12.76,3.79,3.29,82.0,83.0,E,35.519999999999996,Everyone,Nintendo
WII SPORTS RESORT,Wii,2009,Sports,15.61,10.93,3.28,2.95,80.0,80.0,E,32.77,Everyone,Nintendo
POKEMON RED/POKEMON BLUE,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,,,,31.380000000000003,Pending,Nintendo
TETRIS,GB,1989,Puzzle,23.2,2.26,4.22,0.58,,,,30.259999999999998,Pending,Nintendo
NEW SUPER MARIO BROS,DS,2006,Platform,11.28,9.14,6.5,2.88,89.0,85.0,E,29.8,Everyone,Nintendo
WII PLAY,Wii,2006,Misc,13.96,9.18,2.93,2.84,58.0,66.0,E,28.91,Everyone,Nintendo
NEW SUPER MARIO BROS WII,Wii,2009,Platform,14.44,6.94,4.7,2.24,87.0,84.0,E,28.32,Everyone,Nintendo
DUCK HUNT,NES,1984,Shooter,26.93,0.63,0.28,0.47,,,,28.31,Pending,Nintendo
NINTENDOGS,DS,2005,Simulation,9.05,10.95,1.93,2.74,,,,24.67,Pending,Nintendo
MARIO KART DS,DS,2005,Racing,9.71,7.47,4.13,1.9,91.0,86.0,E,23.209999999999997,Everyone,Nintendo
POKEMON GOLD/POKEMON SILVER,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,,,,23.09,Pending,Nintendo
WII FIT,Wii,2007,Sports,8.92,8.03,3.6,2.15,80.0,77.0,E,22.699999999999996,Everyone,Nintendo
KINECT ADVENTURES!,X360,2010,Misc,15.0,4.89,0.24,1.69,61.0,63.0,E,21.82,Everyone,XBox
WII FIT PLUS,Wii,2009,Sports,9.01,8.49,2.53,1.77,80.0,74.0,E,21.8,Everyone,Nintendo
GRAND THEFT AUTO V,PS3,2013,Action,7.02,9.09,0.98,3.96,97.0,82.0,M,21.05,Mature,Playstation
GRAND THEFT AUTO SAN ANDREAS,PS2,2004,Action,9.43,0.4,0.41,10.57,95.0,90.0,M,20.810000000000002,Mature,Playstation
SUPER MARIO WORLD,SNES,1990,Platform,12.78,3.75,3.54,0.55,,,,20.62,Pending,Nintendo
BRAIN AGE TRAIN YOUR BRAIN IN MINUTES A DAY,DS,2005,Misc,4.74,9.2,4.16,2.04,77.0,79.0,E,20.14,Everyone,Nintendo
POKEMON DIAMOND/POKEMON PEARL,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,,,,18.24,Pending,Nintendo
SUPER MARIO LAND,GB,1989,Platform,10.83,2.71,4.18,0.42,,,,18.14,Pending,Nintendo
SUPER MARIO BROS 3,NES,1988,Platform,9.54,3.44,3.84,0.46,,,,17.28,Pending,Nintendo
GRAND THEFT AUTO V,X360,2013,Action,9.66,5.14,0.06,1.41,97.0,81.0,M,16.27,Mature,XBox
GRAND THEFT AUTO VICE CITY,PS2,2002,Action,8.41,5.49,0.47,1.78,95.0,87.0,M,16.150000000000002,Mature,Playstation
POKEMON RUBY/POKEMON SAPPHIRE,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,,,,15.84,Pending,Nintendo
BRAIN AGE 2 MORE TRAINING IN MINUTES A DAY,DS,2005,Puzzle,3.43,5.35,5.32,1.18,77.0,71.0,E,15.28,Everyone,Nintendo
POKEMON BLACK/POKEMON WHITE,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,,,,15.13,Pending,Nintendo
GRAN TURISMO 3 A-SPEC,PS2,2001,Racing,6.85,5.09,1.87,1.16,95.0,84.0,E,14.969999999999999,Everyone,Playstation
CALL OF DUTY MODERN WARFARE 3,X360,2011,Shooter,9.04,4.24,0.13,1.32,88.0,34.0,M,14.73,Mature,XBox
POKÉMON YELLOW SPECIAL PIKACHU EDITION,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,,,,14.64,Pending,Nintendo
CALL OF DUTY BLACK OPS 3,PS4,2015,Shooter,6.03,5.86,0.36,2.38,,,,14.629999999999999,Pending,Playstation
CALL OF DUTY BLACK OPS,X360,2010,Shooter,9.7,3.68,0.11,1.13,87.0,63.0,M,14.619999999999997,Mature,XBox
POKEMON X/POKEMON Y,3DS,2013,Role-Playing,5.28,4.19,4.35,0.78,,,,14.6,Pending,Nintendo
CALL OF DUTY BLACK OPS II,PS3,2012,Shooter,4.99,5.73,0.65,2.42,83.0,53.0,M,13.790000000000001,Mature,Playstation
CALL OF DUTY BLACK OPS II,X360,2012,Shooter,8.25,4.24,0.07,1.12,83.0,48.0,M,13.68,Mature,XBox
CALL OF DUTY MODERN WARFARE 2,X360,2009,Shooter,8.52,3.59,0.08,1.28,94.0,63.0,M,13.469999999999999,Mature,XBox
CALL OF DUTY MODERN WARFARE 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,88.0,32.0,M,13.330000000000002,Mature,Playstation
GRAND THEFT AUTO III,PS2,2001,Action,6.99,4.51,0.3,1.3,97.0,85.0,M,13.100000000000001,Mature,Playstation
SUPER SMASH BROS BRAWL,Wii,2008,Fighting,6.62,2.55,2.66,1.01,93.0,89.0,T,12.840000000000002,Teens,Nintendo
MARIO KART 7,3DS,2011,Racing,5.03,4.02,2.69,0.91,85.0,82.0,E,12.65,Everyone,Nintendo
CALL OF DUTY BLACK OPS,PS3,2010,Shooter,5.99,4.37,0.48,1.79,88.0,64.0,M,12.629999999999999,Mature,Playstation
GRAND THEFT AUTO V,PS4,2014,Action,3.96,6.31,0.38,1.97,97.0,83.0,M,12.62,Mature,Playstation
ANIMAL CROSSING WILD WORLD,DS,2005,Simulation,2.5,3.45,5.33,0.86,86.0,87.0,E,12.14,Everyone,Nintendo
HALO 3,X360,2007,Shooter,7.97,2.81,0.13,1.21,94.0,78.0,M,12.120000000000001,Mature,XBox
SUPER MARIO 64,N64,1996,Platform,6.91,2.85,1.91,0.23,,,,11.9,Pending,Nintendo
POKEMON HEARTGOLD/POKEMON SOULSILVER,DS,2009,Action,4.34,2.71,3.96,0.76,,,,11.770000000000001,Pending,Nintendo
POKEMON OMEGA RUBY/POKEMON ALPHA SAPPHIRE,3DS,2014,Role-Playing,4.35,3.49,3.1,0.74,,,,11.68,Pending,Nintendo
GRAN TURISMO 4,PS2,2004,Racing,3.01,0.01,1.1,7.53,89.0,85.0,E,11.649999999999999,Everyone,Playstation
SUPER MARIO GALAXY,Wii,2007,Platform,6.06,3.35,1.2,0.74,97.0,89.0,E,11.35,Everyone,Nintendo
SUPER MARIO LAND 2 6 GOLDEN COINS,GB,1992,Adventure,6.16,2.04,2.69,0.29,,,,11.18,Pending,Nintendo
GRAND THEFT AUTO IV,X360,2008,Action,6.76,3.07,0.14,1.03,98.0,79.0,M,10.999999999999998,Mature,XBox
GRAN TURISMO,PS,1997,Racing,4.02,3.87,2.54,0.52,96.0,87.0,E,10.95,Everyone,Playstation
SUPER MARIO 3D LAND,3DS,2011,Platform,4.89,3.0,2.14,0.78,90.0,84.0,E,10.809999999999999,Everyone,Nintendo
GRAN TURISMO 5,PS3,2010,Racing,2.96,4.82,0.81,2.11,84.0,75.0,E,10.7,Everyone,Playstation
CALL OF DUTY MODERN WARFARE 2,PS3,2009,Shooter,4.99,3.64,0.38,1.6,94.0,63.0,M,10.61,Mature,Playstation
SUPER MARIO ALL-STARS,SNES,1993,Platform,5.99,2.15,2.12,0.29,,,,10.549999999999999,Pending,Nintendo
GRAND THEFT AUTO IV,PS3,2008,Action,4.76,3.69,0.44,1.61,98.0,75.0,M,10.5,Mature,Playstation
POKEMON FIRERED/POKEMON LEAFGREEN,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,,,,10.49,Pending,Nintendo
SUPER MARIO 64,DS,2004,Platform,5.01,3.07,1.25,0.97,,,,10.3,Pending,Nintendo
CALL OF DUTY GHOSTS,X360,2013,Shooter,6.73,2.56,0.04,0.91,73.0,26.0,M,10.24,Mature,XBox
JUST DANCE 3,Wii,2011,Misc,5.95,3.11,0.0,1.06,74.0,78.0,E10+,10.120000000000001,Everyone 10y+,Nintendo
NEW SUPER MARIO BROS 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,78.0,72.0,E,9.900000000000002,Everyone,Nintendo
MARIO KART 64,N64,1996,Racing,5.55,1.94,2.23,0.15,,,,9.87,Pending,Nintendo
HALO REACH,X360,2010,Shooter,7.04,1.95,0.08,0.79,91.0,79.0,M,9.86,Mature,XBox
FINAL FANTASY VII,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,92.0,92.0,T,9.719999999999999,Teens,Playstation
HALO 4,X360,2012,Shooter,6.65,2.28,0.04,0.74,87.0,70.0,M,9.71,Mature,XBox
GRAN TURISMO 2,PS,1999,Racing,3.88,3.42,1.69,0.5,93.0,90.0,T,9.49,Teens,Playstation
JUST DANCE 2,Wii,2010,Misc,5.8,2.85,0.01,0.78,74.0,73.0,E10+,9.44,Everyone 10y+,Nintendo
CALL OF DUTY GHOSTS,PS3,2013,Shooter,4.1,3.63,0.38,1.25,71.0,26.0,M,9.36,Mature,Playstation
CALL OF DUTY 4 MODERN WARFARE,X360,2007,Shooter,5.93,2.36,0.13,0.9,94.0,84.0,M,9.32,Mature,XBox
DONKEY KONG COUNTRY,SNES,1994,Platform,4.36,1.71,3.0,0.23,,,,9.3,Pending,Nintendo
MINECRAFT,X360,2013,Misc,5.7,2.65,0.02,0.81,,,,9.18,Pending,XBox
ANIMAL CROSSING NEW LEAF,3DS,2012,Simulation,2.03,2.36,4.39,0.39,88.0,87.0,E,9.17,Everyone,Nintendo
MARIO PARTY DS,DS,2007,Misc,4.4,1.85,1.98,0.68,72.0,78.0,E,8.91,Everyone,Nintendo
THE ELDER SCROLLS V SKYRIM,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,96.0,84.0,M,8.79,Mature,XBox
SUPER MARIO KART,SNES,1992,Racing,3.54,1.24,3.81,0.18,,,,8.77,Pending,Nintendo
FIFA 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,82.0,43.0,E,8.58,Everyone,Playstation
HALO 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,95.0,82.0,M,8.48,Mature,XBox
WII PARTY,Wii,2010,Misc,1.75,3.47,2.49,0.67,68.0,74.0,E,8.38,Everyone,Nintendo
MARIO PARTY 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,62.0,63.0,E,8.26,Everyone,Nintendo
FIFA SOCCER 13,PS3,2012,Action,1.06,5.01,0.13,1.97,88.0,66.0,E,8.17,Everyone,Playstation
GOLDENEYE 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,,,,8.09,Pending,Nintendo
POKEMON BLACK 2/POKEMON WHITE 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,,,,8.059999999999999,Pending,Nintendo
FINAL FANTASY X,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,92.0,87.0,T,8.040000000000001,Teens,Playstation
THE SIMS 3,PC,2009,Simulation,0.99,6.42,0.0,0.6,86.0,76.0,T,8.01,Teens,PC
MARIO & SONIC AT THE OLYMPIC GAMES,Wii,2007,Sports,2.57,3.86,0.66,0.91,,,,8.0,Pending,Nintendo
STAR WARS BATTLEFRONT (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,,,,7.980000000000001,Pending,Playstation
FINAL FANTASY VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,90.0,86.0,T,7.86,Teens,Playstation
PAC-MAN,2600,1982,Puzzle,7.28,0.45,0.0,0.08,,,,7.8100000000000005,Pending,Other
POKÉMON PLATINUM VERSION,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,83.0,85.0,E,7.709999999999999,Everyone,Nintendo
GRAND THEFT AUTO LIBERTY CITY STORIES,PSP,2005,Action,2.9,2.81,0.24,1.73,88.0,76.0,M,7.68,Mature,Other
CALL OF DUTY ADVANCED WARFARE,PS4,2014,Shooter,2.81,3.48,0.14,1.23,83.0,57.0,M,7.66,Mature,Playstation
THE LEGEND OF ZELDA OCARINA OF TIME,N64,1998,Action,4.1,1.89,1.45,0.16,,,,7.6,Pending,Nintendo
FIFA 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,85.0,50.0,E,7.6000000000000005,Everyone,Playstation
CRASH BANDICOOT 2 CORTEX STRIKES BACK,PS,1997,Platform,3.78,2.17,1.31,0.31,,,,7.569999999999999,Pending,Playstation
SUPER SMASH BROS FOR WII U AND 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,,,,7.550000000000001,Pending,Nintendo
SUPER MARIO GALAXY 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,97.0,91.0,E,7.510000000000001,Everyone,Nintendo
SUPER MARIO BROS 2,NES,1988,Platform,5.39,1.18,0.7,0.19,,,,7.46,Pending,Nintendo
CALL OF DUTY BLACK OPS 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,,,,7.389999999999999,Pending,XBox
CALL OF DUTY WORLD AT WAR,X360,2008,Shooter,4.81,1.88,0.0,0.69,84.0,76.0,M,7.379999999999999,Mature,XBox
BATTLEFIELD 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,84.0,74.0,M,7.3199999999999985,Mature,XBox
NEED FOR SPEED UNDERGROUND,PS2,2003,Racing,3.27,2.83,0.08,1.02,85.0,86.0,E,7.199999999999999,Everyone,Playstation
JUST DANCE,Wii,2009,Misc,3.48,2.99,0.0,0.73,49.0,80.0,E10+,7.200000000000001,Everyone 10y+,Nintendo
BATTLEFIELD 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,85.0,75.0,M,7.17,Mature,Playstation
FALLOUT 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,87.0,65.0,M,7.169999999999999,Mature,Playstation
TEKKEN 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,96.0,91.0,T,7.180000000000001,Teens,Playstation
THE LEGEND OF ZELDA TWILIGHT PRINCESS,Wii,2006,Action,3.74,2.14,0.6,0.68,95.0,90.0,T,7.16,Teens,Nintendo
POKEMON SUN/MOON,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,,,,7.140000000000001,Pending,Nintendo
CRASH BANDICOOT 3 WARPED,PS,1998,Platform,3.68,1.75,1.42,0.28,91.0,89.0,E,7.13,Everyone,Playstation
MARIO KART 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,88.0,91.0,E,7.09,Everyone,Nintendo
SUPER SMASH BROS MELEE,GC,2001,Fighting,4.41,1.04,1.39,0.22,92.0,91.0,T,7.06,Teens,Nintendo
MARIO KART DOUBLE DASH!!,GC,2003,Racing,4.12,1.77,0.87,0.19,,,,6.95,Pending,Nintendo
NEED FOR SPEED UNDERGROUND 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,82.0,86.0,E,6.9,Everyone,Playstation
MEDAL OF HONOR FRONTLINE,PS2,2002,Shooter,2.93,2.75,0.17,0.99,88.0,85.0,T,6.84,Teens,Playstation
CRASH BANDICOOT,PS,1996,Platform,3.23,2.35,0.94,0.3,,,,6.819999999999999,Pending,Playstation
JUST DANCE 4,Wii,2012,Misc,4.05,2.16,0.0,0.55,74.0,73.0,E10+,6.76,Everyone 10y+,Nintendo
GEARS OF WAR 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,93.0,77.0,M,6.749999999999999,Mature,XBox
UNCHARTED 3 DRAKE'S DECEPTION,PS3,2011,Action,2.77,2.75,0.19,1.03,92.0,83.0,T,6.74,Teens,Playstation
ZUMBA FITNESS,Wii,2010,Sports,3.45,2.59,0.0,0.66,,,E,6.7,Everyone,Nintendo
CALL OF DUTY 4 MODERN WARFARE,PS3,2007,Shooter,3.11,2.26,0.28,1.03,94.0,84.0,M,6.68,Mature,Playstation
UNCHARTED 2 AMONG THIEVES,PS3,2009,Action,3.27,2.2,0.21,0.98,96.0,88.0,T,6.66,Teens,Playstation
FIFA 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,,,,6.64,Pending,Playstation
BIG BRAIN ACADEMY,DS,2005,Misc,1.66,2.75,1.6,0.62,74.0,74.0,E,6.63,Everyone,Nintendo
THE LEGEND OF ZELDA,NES,1986,Action,3.74,0.93,1.69,0.14,,,,6.499999999999999,Pending,Nintendo
RED DEAD REDEMPTION,PS3,2010,Action,2.79,2.53,0.17,0.99,95.0,88.0,M,6.48,Mature,Playstation
FIFA 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,86.0,43.0,E,6.46,Everyone,Playstation
ASSASSIN'S CREED III,PS3,2012,Action,2.64,2.52,0.16,1.12,85.0,69.0,M,6.44,Mature,Playstation
DONKEY KONG COUNTRY RETURNS,Wii,2010,Platform,3.17,1.79,1.03,0.46,87.0,86.0,E,6.45,Everyone,Nintendo
HALO COMBAT EVOLVED,XB,2001,Shooter,4.98,1.3,0.08,0.07,97.0,86.0,M,6.430000000000001,Mature,XBox
THE ELDER SCROLLS V SKYRIM,PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,92.0,64.0,M,6.4,Mature,Playstation
POKÉMON EMERALD VERSION,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,76.0,90.0,E,6.42,Everyone,Nintendo
KINGDOM HEARTS,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,85.0,88.0,E,6.4,Everyone,Playstation
POKÉMON CRYSTAL VERSION,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,,,,6.390000000000001,Pending,Nintendo
HALO 3 ODST,X360,2009,Shooter,4.34,1.34,0.06,0.61,83.0,71.0,M,6.35,Mature,XBox
RED DEAD REDEMPTION,X360,2010,Action,3.7,1.95,0.09,0.58,95.0,90.0,M,6.32,Mature,XBox
SUPER MARIO SUNSHINE,GC,2002,Platform,4.01,1.26,0.87,0.17,92.0,86.0,E,6.31,Everyone,Nintendo
STREET FIGHTER II THE WORLD WARRIOR,SNES,1992,Fighting,2.47,0.83,2.87,0.12,,,,6.29,Pending,Nintendo
WORLD OF WARCRAFT,PC,2004,Role-Playing,0.08,6.21,0.0,0.0,93.0,73.0,T,6.29,Teens,PC
DRIVER,PS,1999,Action,3.11,2.8,0.02,0.33,87.0,81.0,T,6.26,Teens,Playstation
GEARS OF WAR 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,91.0,78.0,M,6.21,Mature,XBox
KINECT SPORTS,X360,2010,Sports,3.92,1.73,0.03,0.51,73.0,74.0,E10+,6.1899999999999995,Everyone 10y+,XBox
GEARS OF WAR,X360,2006,Shooter,3.54,1.88,0.07,0.6,94.0,83.0,M,6.09,Mature,XBox
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,82.0,57.0,E,6.08,Everyone,Playstation
METAL GEAR SOLID 2 SONS OF LIBERTY,PS2,2001,Action,2.45,2.01,0.87,0.72,96.0,87.0,M,6.05,Mature,Playstation
SONIC THE HEDGEHOG 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,,,,6.0200000000000005,Pending,Other
METAL GEAR SOLID,PS,1998,Action,3.18,1.83,0.78,0.24,94.0,94.0,M,6.03,Mature,Playstation
METAL GEAR SOLID 4 GUNS OF THE PATRIOTS,PS3,2008,Action,2.63,1.71,0.83,0.82,94.0,87.0,M,5.99,Mature,Playstation
FINAL FANTASY XII,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,92.0,76.0,T,5.95,Teens,Playstation
THE LAST OF US,PS3,2013,Action,2.41,2.18,0.28,0.99,95.0,91.0,M,5.860000000000001,Mature,Playstation
LITTLEBIGPLANET,PS3,2008,Platform,2.8,1.98,0.17,0.87,95.0,68.0,E,5.819999999999999,Everyone,Playstation
RESIDENT EVIL 2,PS,1998,Action,1.88,1.47,2.02,0.45,89.0,92.0,M,5.82,Mature,Playstation
DRAGON QUEST IX SENTINELS OF THE STARRY SKIES,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,87.0,88.0,E10+,5.8,Everyone 10y+,Nintendo
TEKKEN 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,89.0,89.0,T,5.74,Teens,Playstation
DESTINY,PS4,2014,Shooter,2.49,2.07,0.16,0.92,76.0,61.0,T,5.640000000000001,Teens,Playstation
LEGO STAR WARS THE COMPLETE SAGA,Wii,2007,Action,3.57,1.55,0.0,0.51,80.0,89.0,E10+,5.63,Everyone 10y+,Nintendo
COOKING MAMA,DS,2006,Simulation,3.07,1.91,0.07,0.57,67.0,72.0,E,5.62,Everyone,Nintendo
TETRIS,NES,1988,Puzzle,2.97,0.69,1.81,0.11,,,,5.580000000000001,Pending,Nintendo
SUPER SMASH BROS,N64,1999,Fighting,2.95,0.6,1.97,0.04,,,,5.56,Pending,Nintendo
ASSASSIN'S CREED II,PS3,2009,Action,2.54,1.93,0.21,0.86,91.0,86.0,M,5.54,Mature,Playstation
ASSASSIN'S CREED,X360,2007,Adventure,3.28,1.64,0.07,0.56,81.0,77.0,M,5.549999999999999,Mature,XBox
FORZA MOTORSPORT 3,X360,2009,Racing,2.99,1.9,0.1,0.5,92.0,80.0,E,5.49,Everyone,XBox
SUPER MARIO ADVANCE,GBA,2001,Platform,3.14,1.24,0.91,0.2,84.0,78.0,E,5.49,Everyone,Nintendo
MONSTER HUNTER FREEDOM UNITE,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,81.0,87.0,T,5.489999999999999,Teens,Other
BATMAN ARKHAM CITY,PS3,2011,Action,2.71,1.85,0.11,0.81,96.0,86.0,T,5.48,Teens,Playstation
GRAND THEFT AUTO V,XOne,2014,Action,2.81,2.19,0.0,0.47,97.0,79.0,M,5.47,Mature,XBox
MARIO KART SUPER CIRCUIT,GBA,2001,Racing,2.62,1.64,0.99,0.23,93.0,83.0,E,5.48,Everyone,Nintendo
SUPER MARIO WORLD,GBA,2001,Platform,3.21,1.11,0.95,0.2,,,,5.470000000000001,Pending,Nintendo
POKEMON STADIUM,N64,1999,Strategy,3.18,1.24,0.94,0.09,,,,5.45,Pending,Nintendo
CRASH BANDICOOT THE WRATH OF CORTEX,PS2,2001,Platform,2.07,2.29,0.24,0.82,66.0,71.0,E,5.42,Everyone,Playstation
CALL OF DUTY WORLD AT WAR,PS3,2008,Shooter,2.73,1.83,0.0,0.83,85.0,76.0,M,5.390000000000001,Mature,Playstation
UNCHARTED 4 A THIEF'S END,PS4,2016,Shooter,1.85,2.5,0.19,0.85,93.0,79.0,T,5.39,Teens,Playstation
DR MARIO,GB,1989,Puzzle,2.18,0.96,2.0,0.2,,,,5.34,Pending,Nintendo
FINAL FANTASY XIII,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,83.0,73.0,T,5.33,Teens,Playstation
POKEMON PINBALL,GB,1999,Misc,3.02,1.12,1.01,0.16,,,,5.3100000000000005,Pending,Nintendo
FINAL FANTASY IX,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,94.0,89.0,T,5.31,Teens,Playstation
ASSASSIN'S CREED III,X360,2012,Action,3.13,1.69,0.03,0.44,84.0,67.0,M,5.29,Mature,XBox
FINAL FANTASY X-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,85.0,66.0,T,5.279999999999999,Teens,Playstation
DONKEY KONG 64,N64,1999,Platform,3.33,0.79,1.09,0.06,,,,5.27,Pending,Nintendo
CALL OF DUTY ADVANCED WARFARE,XOne,2014,Shooter,3.22,1.55,0.01,0.48,81.0,54.0,M,5.26,Mature,XBox
MINECRAFT,PS3,2014,Misc,2.03,2.37,0.0,0.87,,,,5.2700000000000005,Pending,Playstation
ASSASSIN'S CREED II,X360,2009,Action,3.11,1.55,0.08,0.51,90.0,88.0,M,5.25,Mature,XBox
TOMB RAIDER II,PS,1997,Action,2.3,2.46,0.2,0.28,85.0,,T,5.24,Teens,Playstation
TOMODACHI LIFE,3DS,2013,Simulation,0.97,2.11,1.9,0.24,,,,5.220000000000001,Pending,Nintendo
NEW SUPER MARIO BROS U,WiiU,2012,Platform,2.3,1.34,1.27,0.32,84.0,81.0,E,5.23,Everyone,Nintendo
DRAGON QUEST VIII JOURNEY OF THE CURSED KING,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,89.0,88.0,T,5.21,Teens,Playstation
SUPER MARIO BROS 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,,,,5.21,Pending,Nintendo
PROFESSOR LAYTON AND THE CURIOUS VILLAGE,DS,2007,Puzzle,1.21,2.43,1.03,0.52,85.0,86.0,E,5.1899999999999995,Everyone,Nintendo
SUPER MARIO LAND 3 WARIO LAND,GB,1994,Platform,2.49,0.98,1.57,0.15,,,,5.190000000000001,Pending,Nintendo
FIFA SOCCER 13,X360,2012,Action,1.09,3.47,0.03,0.57,90.0,61.0,E,5.16,Everyone,XBox
DONKEY KONG COUNTRY 2 DIDDY'S KONG QUEST,SNES,1995,Platform,2.1,0.74,2.2,0.11,,,,5.150000000000001,Pending,Nintendo
DIABLO III,PC,2012,Role-Playing,2.44,2.16,0.0,0.54,88.0,40.0,M,5.14,Mature,PC
MEDAL OF HONOR RISING SUN,PS2,2003,Shooter,1.98,2.23,0.13,0.8,68.0,76.0,T,5.14,Teens,Playstation
KIRBY'S DREAM LAND,GB,1992,Platform,2.71,0.61,1.7,0.11,,,,5.130000000000001,Pending,Nintendo
MICROSOFT FLIGHT SIMULATOR,PC,1996,Simulation,3.22,1.69,0.0,0.2,,,,5.11,Pending,PC
GUITAR HERO II,PS2,2006,Misc,3.81,0.63,0.0,0.68,92.0,85.0,T,5.12,Teens,Playstation
FABLE III,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,80.0,65.0,M,5.1,Mature,XBox
MARIO & SONIC AT THE OLYMPIC GAMES,DS,2008,Sports,1.63,2.45,0.44,0.57,,,,5.09,Pending,Nintendo
RESIDENT EVIL 5,PS3,2009,Action,1.96,1.41,1.08,0.64,84.0,75.0,M,5.09,Mature,Playstation
THE LEGEND OF ZELDA PHANTOM HOURGLASS,DS,2007,Action,1.85,1.8,0.95,0.48,90.0,80.0,E,5.08,Everyone,Nintendo
SUPER MARIO BROS,GB,1999,Platform,3.4,1.3,0.15,0.22,,,,5.069999999999999,Pending,Nintendo
FIFA SOCCER 11,PS3,2010,Sports,0.61,3.28,0.06,1.12,89.0,80.0,E,5.07,Everyone,Playstation
RESIDENT EVIL,PS,1996,Action,2.05,1.16,1.11,0.73,91.0,90.0,M,5.050000000000001,Mature,Playstation
GRAND THEFT AUTO VICE CITY STORIES,PSP,2006,Action,1.7,1.99,0.16,1.18,86.0,80.0,M,5.029999999999999,Mature,Other
TONY HAWK'S PRO SKATER,PS,1999,Sports,3.42,1.38,0.02,0.2,92.0,92.0,T,5.0200000000000005,Teens,Playstation
WARZONE 2100,PS,1999,Strategy,2.79,1.89,0.0,0.33,,,,5.01,Pending,Playstation
SPYRO THE DRAGON,PS,1998,Platform,3.36,1.36,0.07,0.21,,,,5.0,Pending,Playstation
GUITAR HERO III LEGENDS OF ROCK,PS2,2007,Misc,3.49,0.01,0.01,1.48,82.0,82.0,T,4.99,Teens,Playstation
LINK'S CROSSBOW TRAINING,Wii,2007,Shooter,3.05,1.17,0.29,0.46,68.0,71.0,T,4.97,Teens,Nintendo
POKEMON MYSTERY DUNGEON EXPLORERS OF TIME/EXPLORERS OF DARKNESS,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,,,,4.930000000000001,Pending,Nintendo
FALLOUT 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,93.0,85.0,M,4.93,Mature,XBox
UNCHARTED DRAKE'S FORTUNE,PS3,2007,Action,2.31,1.72,0.12,0.77,88.0,81.0,T,4.92,Teens,Playstation
